"EUE","EUE_change","n","n_change","NEY","NEY_change","NUE","NUE_change","total_agc_risk","total_agc_risk_change","total_c_footprint","total_c_footprint_change","Trt","Trt_change","Year","Year_change","Yield","Yield_change","yield_scaled_agc_risk","yield_scaled_agc_risk_change","yield_scaled_c_footprint","yield_scaled_c_footprint_change"
0.921741341525772,0,12,0,152.773742857956,0,157.980314401076,0,347417.132354127,0,847.388958066667,0,"1","1","1",NA,10.9577588698333,0,32.969940503714,0,0.080114767396379,0
0.955287855207738,0.0363947152749338,12,0,158.7138674352,0.038881842299088,161.078137019102,0.0196089153877801,347417.132354127,0,847.388958066667,0,"2","2","1",NA,11.1740833661667,0.0197416733570288,32.1592731129383,-0.0245880756346661,0.0781542223268907,-0.0244717064431864
0.983873885936788,0.067407787425664,12,0,157.792637254133,0.0328518127676181,159.466167133956,0.00940530305002452,279127.757718927,-0.196563060009349,825.369819266667,-0.0259846893098973,"3","3","1",NA,11.0662718459167,0.00990284394576979,25.6277617808627,-0.222693114111753,0.0752534492814105,-0.0606794261901369
0.858978098587044,-0.0680920341869825,12,0,157.889811805067,0.0334878811725383,129.146777318913,-0.18251348081864,347417.132354127,0,954.8782914,0.126847691736003,"4","4","1",NA,11.26927150025,0.0284284983925189,31.5701802007342,-0.042455651469015,0.0866788179856386,0.0819330917704972
0.936059992797038,0.0155343485489807,12,0,156.170269596089,0.0222323985430619,157.324264392747,-0.00415273264150939,347417.132354127,0,855.677624733333,0.0097814192499952,"5","5","1",NA,10.9814955978333,0.00216620280496849,32.1899860507826,-0.0236565320111374,0.0791736449064842,-0.0117471787097443
0.929865151170166,0.00881354592487593,9,-0.25,154.221959605689,0.00947948725115588,156.855924988664,-0.00711727544456997,347189.259605061,-0.000655905330637863,846.293928066667,-0.00129224010954576,"6","6","1",NA,10.9297776451111,-0.00255355361024179,32.4715131203427,-0.0151176306586056,0.0789061364586923,-0.015086244109115
0.919135509093083,0,12,0,162.277010364267,0,144.84333819199,0,322223.251667461,0,924.349920333333,0,"7","7","1",NA,11.638291271,0,28.5554967906566,0,0.0821855697946391,0
0.928665616436716,0.010368555288476,12,0,159.752173633333,-0.0155588072843208,139.368552788122,-0.0377979786451162,280368.473675994,-0.129893723605835,910.854319133333,-0.0146000999222603,"8","8","1",NA,11.20307326125,-0.0373953529445054,25.0678184014482,-0.122136848634674,0.080986912754004,-0.0145847627951029
0.954802821399927,0.0388052816521438,12,0,171.762429567644,0.0584520209121775,150.87705886468,0.0416568738887559,347189.259605061,0.07748046675218,932.399928066667,0.00870883153257629,"9","9","1",NA,12.1178154145,0.0412022806728396,29.5984850837889,0.0365249570259114,0.0791741889397513,-0.0366412359543471
0.95815234071844,0.0424494878495723,12,0,159.394425435733,-0.0177633598379877,160.431217674976,0.10761889140061,322223.251667461,0,856.367920333333,-0.073545741179363,"10","10","1",NA,11.2518861256667,-0.0332011921970167,29.2695937446082,0.0250073377881239,0.0782489902026686,-0.0478986712850814
0.892542102244783,-0.0289330643688653,12,0,161.809955266667,-0.00287813471884646,132.867814451617,-0.0826791476215443,322223.251667461,0,945.733253666667,0.0231333749946365,"11","11","1",NA,11.5848182416667,-0.00459457733856306,28.507714992435,-0.00167329598822341,0.0840851567931826,0.0231133884365597
0.946256536846732,0.0295071047580457,9,-0.25,167.748515846578,0.033717071013504,151.787392339316,0.0479418262103384,322451.124416527,0.000707189030856092,925.444950333333,0.00118464877414071,"12","12","1",NA,11.8837505162222,0.0210906600897549,27.7291387767573,-0.0289386670439442,0.0797937753741291,-0.0291023646424367
